,avgtempo,base_name,chord_changes,chorus_count,compid,filename_solo,filename_solo_backing,filename_solo_solo,filename_sv,genre,instrument,key,melid,performer,recording_year,rhythmfeel,signature,solopart,style,tempoclass,title,titleaddon,tonalitytype,trackid,tuning_frequency,intensity_solo_5_to_95_percentile_range,intensity_backing_5_to_95_percentile_range
84,112.0,ChrisPotter_Togo_Solo,A1: ||G-7   ||,1,74,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ChrisPotter_Togo_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ChrisPotter_Togo_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ChrisPotter_Togo_Solo_Solo.wav,ChrisPotter_Togo_FINAL.sv,ORIGINAL,ts,F-min,84,Chris Potter,2007,FUNK,4/4,1,FUSION,MEDIUM,Togo,,MODAL,76,439.333,8.64038877719,12.5275418618
85,81.9,ChuBerry_BodyAndSoul-1_Solo,"A1: ||D-7 A79b |D-7 Db7 |Cj7 F7 |E-7 Ebo7 |D-7   |Bm7b5 E7 |A-7D7D-7G7|C6 A7 ||
A2: ||D-7 A79b |D-7 Db7 |Cj7 F7 |E-7 Ebo7 |D-7   |Bm7b5 E7 |A-7D7D-7G7|C Ab7 ||
B1: ||Dbj7 Eb-7 |Db/F Gb-7B7|F-7Bb-7Eb-7Ab7|Dbj7   |Db-7 Gb7 |Bj7 D- |Db-7 Gb7 |B7Bb7A7 ||
A3: ||D-7 A79b |D-7 Db7 |Cj7 F7 |E-7 Ebo7 |D-7   |Bm7b5 E7 |A-7D7D-7G7|C6 NC ||",1,75,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ChuBerry_BodyAndSoul-1_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ChuBerry_BodyAndSoul-1_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ChuBerry_BodyAndSoul-1_Solo_Solo.wav,ChuBerry_BodyAndSoul-1_FINAL.sv,GREAT AMERICAN SONGBOOK,ts,Eb-min,85,Chu Berry,1938,SWING,4/4,1,SWING,MEDIUM SLOW,Body and Soul,,FUNCTIONAL,77,439.761,12.6776601818,19.5403535158
86,92.5,ChuBerry_BodyAndSoul-2_Solo,"B1: ||Dj7 E-7 |D/F# G-7C7|F#-7B-7E-7A7|Dj7   |D-7 G7 |Cj7 Eb- |D-7 G7 |C7B7Bb7 ||
A3: ||Eb-7 Bb79b |Eb-7 D7 |Dbj7 Gb7 |F-7 Em7b5 |Eb-7   |Ab F7 |Bb-7   ||",1,75,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ChuBerry_BodyAndSoul-2_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ChuBerry_BodyAndSoul-2_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ChuBerry_BodyAndSoul-2_Solo_Solo.wav,ChuBerry_BodyAndSoul-2_FINAL.sv,GREAT AMERICAN SONGBOOK,ts,Eb-min,86,Chu Berry,1938,SWING,4/4,2,SWING,MEDIUM SLOW,Body and Soul,,FUNCTIONAL,77,451.085,10.5953067795,15.4112946929
87,189.7,CliffordBrown_ANightInTunisia_Solo,"A1: ||Eb7   |D-6   |Eb7   |D-6   |Eb7   |D-6   |Em7b5 A7 |D-6   ||
A2: ||Eb7   |D-6   |Eb7   |D-6   |Eb7   |D-6   |Em7b5 A7 |D-6   ||
B1: ||Am7b5   |D79b   |G-7   |G-7   |Cm7b5   |C79b   |Fj7   |Em7b5 A7 ||
A3: ||Eb7   |D-6   |Eb7   |D-6   |Eb7   |D-6   |Em7b5 A7 |D-6   ||",3,48,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/CliffordBrown_ANightInTunisia_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_ANightInTunisia_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_ANightInTunisia_Solo_Solo.wav,CliffordBrown_ANightInTunisia_FINAL.sv,ORIGINAL,tp,D-min,87,Clifford Brown,1951,SWING,4/4,1,HARDBOP,UP,A Night in Tunisia,,BLUES,48,436.889,14.9119440313,11.5265940475
88,240.9,CliffordBrown_Daahoud_Solo,"A1: ||Eb-7 Ab7 |Db-7 Gb7 |Bj7   |F-7 Bb7 |Eb-7   |B7 Bb7 |Ebj7   |Ebj7   ||
A2: ||Eb-7 Ab7 |Db-7 Gb7 |Bj7   |F-7 Bb7 |Eb-7   |B7 Bb7 |Ebj7   |Ebj7   ||
B1: ||Bb-7   |Eb7   |Abj7   |Abj7   |Ab-7   |Db7   |Gbj7   |F-7 Bb7 ||
A3: ||Eb-7 Ab7 |Db-7 Gb7 |Bj7   |F-7 Bb7 |Eb-7   |B7 Bb7 |Ebj7   |Ebj7   ||",2,77,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/CliffordBrown_Daahoud_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_Daahoud_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_Daahoud_Solo_Solo.wav,CliffordBrown_Daahoud_FINAL.sv,ORIGINAL,tp,Eb-maj,88,Clifford Brown,1954,SWING,4/4,1,HARDBOP,UP,Daahoud,,FUNCTIONAL,78,442.48,13.9754449264,12.0759045648
89,154.8,CliffordBrown_George'sDilemma_Solo,"A1: ||Db-7   |Dj7   |Db-7   |B7   |Db-7   |Db-7   |Eb7 Ab7 |Db-7   ||
A2: ||Db-7   |Dj7   |Db-7   |B7   |Db-7   |Db-7   |Eb7 Ab7 |Db-7   ||
B1: ||Gb-7   |B7   |Ab-7 Aj7 |Ab-7 Go |Gb-7   |B7   |Ej7 Aj7 |Dj7 Eb-7Ab7||
A3: ||Db-7   |Dj7   |Db-7   |B7   |Db-7   |Db-7   |Eb7 Ab7 |Db-7   ||",2,78,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/CliffordBrown_George'sDilemma_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_George'sDilemma_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_George'sDilemma_Solo_Solo.wav,CliffordBrown_George'sDilemma_FINAL.sv,ORIGINAL,tp,Db-min,89,Clifford Brown,1955,A:LATIN/B:SWING,4/4,1,HARDBOP,MEDIUM UP,George's Dilemma,,FUNCTIONAL,79,439.356,13.4520688658,14.6591997987
90,291.5,CliffordBrown_I'llRememberApril_AlternateTake2_Solo,"A1: ||Gj7   |G6   |Gj7   |G6   |G-7   |G-6   |G-7   |G-6   |Am7b5   |D7   |Bm7b5   |E7   |A-7   |D7   |Gj7   |Gj7   ||
B1: ||C-7   |F7   |Bbj7   |G-7   |C-7   |F7   |Bbj7   |Bb6   |A-7   |D7   |Gj7   |G6   |F#-7   |B7   |Ej7   |A-7 D7 ||
A2: ||Gj7   |G6   |Gj7   |G6   |G-7   |G-6   |G-7   |G-6   |Am7b5   |D7   |Bm7b5   |E7   |A-7   |D7   |Gj7   |Gj7   ||",2,79,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/CliffordBrown_I'llRememberApril_AlternateTake2_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_I'llRememberApril_AlternateTake2_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_I'llRememberApril_AlternateTake2_Solo_Solo.wav,CliffordBrown_I'llRememberApril_AlternateTake2_FINAL.sv,GREAT AMERICAN SONGBOOK,tp,G-maj,90,Clifford Brown,1956,SWING,4/4,1,HARDBOP,UP,I'll Remember April,Alternate Take 2,FUNCTIONAL,80,440.103,,
91,285.4,CliffordBrown_I'llRememberApril_Solo,"A1: ||Gj7   |Gj7   |Gj7   |Gj7   |G-7   |G-7   |G-7   |G-7   |A-7   |D7   |Bm7b5   |E79b   |A-7   |D7   |Gj7   |Gj7   ||
B1: ||C-7   |F7   |Bbj7   |Bbj7   |C-7   |F7   |Bbj7   |Bbj7   |A-7   |D7   |Gj7   |Gj7   |F#-7   |F#-7   |Ej7   |Ej7   ||
A2: ||Gj7   |Gj7   |Gj7   |Gj7   |G-7   |G-7   |G-7   |G-7   |A-7   |D7   |Bm7b5   |E7   |A-7   |D7   |Gj7   |Gj7   ||",2,79,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/CliffordBrown_I'llRememberApril_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_I'llRememberApril_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_I'llRememberApril_Solo_Solo.wav,CliffordBrown_I'llRememberApril_FINAL.sv,GREAT AMERICAN SONGBOOK,tp,G-maj,91,Clifford Brown,1956,SWING,4/4,1,HARDBOP,UP,I'll Remember April,,FUNCTIONAL,81,440.656,14.9264888734,11.9515051825
92,139.0,CliffordBrown_Jordu_Solo,"A1: ||D7 G7 |C-6   |F7 Bb7 |Ebj7   |D7 G7 |C-6   |Ab7   |Ab7   ||
A2: ||D7 G7 |C-6   |F7 Bb7 |Ebj7   |D7 G7 |C-6   |Ab7   |Ab7   ||
B1: ||G7 C7 |F7 Bb7 |Eb7 Ab7 |Dbj7   |F7 Bb7 |Eb7 Ab7 |Db7 Gb7 |Bj7   ||
A3: ||D7 G7 |C-6   |F7 Bb7 |Ebj7   |D7 G7 |C-6   |Ab7   |Ab7   ||",2,80,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/CliffordBrown_Jordu_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_Jordu_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_Jordu_Solo_Solo.wav,CliffordBrown_Jordu_FINAL.sv,ORIGINAL,tp,Eb-maj,92,Clifford Brown,1954,SWING,4/4,1,HARDBOP,MEDIUM,Jordu,,FUNCTIONAL,82,438.533,18.5301031521,11.4851689982
93,161.0,CliffordBrown_JoySpring_Solo,"A1: ||Fj7   |G-7 C7 |Fj7   |Bb-7 Eb7 |Eb7 D7 |G-7 C7 |F   |Ab-7 Db7 |Gbj7   |Ab-7 Db7 |Gbj7   |B-7 E7 |Bb-7 A7 |Ab-7 Db7 |Gb   |A-7 D7 ||
B1: ||Gj7   |G-7 C7 |Fj7   |F-7 Bb7 |Ebj7   |Ab-7 Db7 |Gbj7   |G-7 C7 ||
A2: ||Fj7   |G-7 C7 |Fj7   |Bb-7 Eb7 |A-7 D7 |G-7 C7 |F   |G-7 C7 ||",2,81,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/CliffordBrown_JoySpring_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_JoySpring_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_JoySpring_Solo_Solo.wav,CliffordBrown_JoySpring_FINAL.sv,ORIGINAL,tp,F-maj,93,Clifford Brown,1954,SWING,4/4,1,HARDBOP,MEDIUM UP,Joy Spring,,FUNCTIONAL,83,441.034,11.1451592646,9.04111806964
94,139.5,CliffordBrown_Sandu_Solo,A1: ||Eb7   |Ab7   |Eb7   |Eb7   |Ab7   |Ab7   |Eb7   |G-7 C7 |F-7   |Bb7   |Eb7  C-7|F-7 Bb7 ||,2,82,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/CliffordBrown_Sandu_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_Sandu_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_Sandu_Solo_Solo.wav,CliffordBrown_Sandu_FINAL.sv,ORIGINAL,tp,Eb-maj,94,Clifford Brown,1955,SWING,4/4,1,HARDBOP,MEDIUM,Sandu,,BLUES,84,440.932,12.9748705107,18.7167719908
95,163.9,CliffordBrown_Stompin'AtTheSavoy_Solo,"A1: ||Dbj7   |Dbj7 Ab7 |Dbj7   |Dbj7 Do |Eb-7   |Ab7   |Db6 Bb-7 |Eb-7 Ab7 ||
A2: ||Dbj7   |Dbj7 Ab7 |Dbj7   |Dbj7 Do |Eb-7   |Ab7   |Db6   |Db7   ||
B1: ||Gb7 G7 |Gb7   |B7 C7 |B7   |E7 F7 |E7   |A7   |Ab7   ||
A3: ||Dbj7   |Dbj7 Ab7 |Dbj7   |Dbj7 Do |Eb-7   |Ab7   |Db6   |Eb-7 Ab7 ||",2,83,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/CliffordBrown_Stompin'AtTheSavoy_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_Stompin'AtTheSavoy_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CliffordBrown_Stompin'AtTheSavoy_Solo_Solo.wav,CliffordBrown_Stompin'AtTheSavoy_FINAL.sv,GREAT AMERICAN SONGBOOK,tp,Db-maj,95,Clifford Brown,1954,SWING,4/4,1,HARDBOP,MEDIUM UP,Stompin' at the Savoy,,FUNCTIONAL,85,440.786,18.3148956655,12.9872858619
96,95.0,ColemanHawkins_BodyAndSoul_Solo,"A1: ||Eb- D+7 |Eb-7 D7 |Dbj7 Eb-7 |F-7 Eo |Eb-7   |Cm7b5 B7 |Bb-7 Eb-7Ab7|Dbj7 Fm7b5Bb79b||
A2: ||Eb- D+7 |Eb-7 D7 |Db-7 Eb-7 |F-7 Eo |Eb-7   |Cm7b5 B7 |Bb-7 Eb-7Ab7|Db E-7A7||
B1: ||Dj7 E-7 |B-7F#G-7C7|F#-7B-7E-7A7|Dj7 F#-7E-7|D-7 G7 |Cj7 Ebo |D-7 G7 |C7B7Bbsus7Bb7||
A3: ||Eb- B+7 |Eb-7 Ab7 |Dbj7 Gb7 |F-7 Eo |Eb-7   |Ab7 Ao |Ao Eb-7Ab+7|Ab+7 Fm7b5Bb7||",2,75,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ColemanHawkins_BodyAndSoul_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_BodyAndSoul_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_BodyAndSoul_Solo_Solo.wav,ColemanHawkins_BodyAndSoul_FINAL.sv,GREAT AMERICAN SONGBOOK,ts,Db-maj,96,Coleman Hawkins,1939,SWING,4/4,1,SWING,MEDIUM SLOW,Body and Soul,,FUNCTIONAL,86,445.443,15.3876904224,18.8741015167
97,133.7,ColemanHawkins_It'sOnlyAPapermoon_Solo,"A1: ||F6 D7 |G-7 C7NC|G-7 C7NC|F6   |F7  NC|Bb6 Gm7b5 |C7   |F6 C7 ||
A2: ||F6 D7 |G-7 C7 |G-7 C7 |F6   |F7   |Bb6 Gm7b5 |C7   |F6   ||
B1: ||Bb Bo |F/C D7 |G-7 C7 |F6 F7 |Bb Bo |F/C D7 |Am7b5 D7 |G-7 C7 ||
A3: ||F6 D7 |G-7 C7 |G-7 C7 |F6   |F7   |Bb6 Gm7b5 |C7   |F6   ||
I1: ||F6   ||",1,84,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ColemanHawkins_It'sOnlyAPapermoon_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_It'sOnlyAPapermoon_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_It'sOnlyAPapermoon_Solo_Solo.wav,ColemanHawkins_It'sOnlyAPapermoon_FINAL.sv,GREAT AMERICAN SONGBOOK,ts,F-maj,97,Coleman Hawkins,1949,SWING,4/4,1,SWING,MEDIUM,It's Only a Papermoon,,FUNCTIONAL,87,432.763,12.2400580887,14.4603892033
98,132.0,ColemanHawkins_MyBlueHeaven_Solo,"A1: ||Eb   |Eb   |Eb D7Db7|C7   |F7   |Bb7   |G-7 Gb7 |F-7 Bb7 ||
A2: ||Eb   |Eb   |Eb D7Db7|C7   |F7   |Bb7   |Eb   |Eb7  Eb+7||
B1: ||Ab   |C7   |F-   |F-   |Bb7   |Bb7   |Eb Eo |F-7 Bb7 ||
A3: ||Eb   |Eb   |Eb D7Db7|C7   |F7   |Bb7   |Eb Ab7 |Eb  NC||",1,85,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ColemanHawkins_MyBlueHeaven_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_MyBlueHeaven_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_MyBlueHeaven_Solo_Solo.wav,ColemanHawkins_MyBlueHeaven_FINAL.sv,GREAT AMERICAN SONGBOOK,ts,Eb-maj,98,Coleman Hawkins,1950,SWING,4/4,1,SWING,MEDIUM,My Blue Heaven,,FUNCTIONAL,88,443.585,13.522350208,14.126669427
99,177.5,ColemanHawkins_Perdido_Solo,"A1: ||C-7   |F7   |Bb6   |D-7 G7 |C-7   |F7   |Bb6   |D-7 G7 ||
A2: ||C-7   |F7   |Bb6   |D-7 G7 |C-7   |F7   |Bb6   |Bb6   ||
B1: ||D7   |D7   |G79   |G+7   |C7   |C7   |F7   |F7   ||
A3: ||C-7   |F7   |Bb6   |D-7 G7 |C-7   |F7   |Bb6   |D-7 G7 ||",2,86,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ColemanHawkins_Perdido_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_Perdido_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_Perdido_Solo_Solo.wav,ColemanHawkins_Perdido_FINAL.sv,GREAT AMERICAN SONGBOOK,ts,Bb-maj,99,Coleman Hawkins,1950,SWING,4/4,1,SWING,MEDIUM UP,Perdido,,FUNCTIONAL,89,444.057,12.2572756366,13.4963251084
100,67.6,ColemanHawkins_SophisticatedLady_Solo,"A1: ||Bb-7   |Gb7F7E7Eb7|Abj7   |Ab7G7Gb7F7|Bb7   |Bb-7 Eb7 |Abj7   |Ab7 F79b ||
A2: ||Bb-7   |Gb7F7E7Eb7|Abj7   |Ab7G7Gb7F7|Bb7   |Bb-7 Eb7 |Abj7   |Ab7911# D79b ||
B1: ||Gj7 E-7 |A-7 D7 |G7 G#o7 |A-7 D7 |Gj7 E-7 |A-7 D7 |G7 C-7 |Eb7 Cm7b5F79b||
A3: ||Bb-7   |Gb7F7E7Eb7|Abj7   |Ab7G7Gb7F7|Bb7   |Bb-7 Eb7 |Abj7   |Ab7 F79b ||
B2: ||Gj7 B-7 |A-7F7D7Eb7|G7 G#o7 |A-7G7D7F7|Gj7 E-7 |A-7 D7 |G7 C-7 |Eb7 Cm7b5F79b||
A4: ||Bb-7   |Gb7F7E7Eb7|Abj7   |Ab7G7Gb7F7|Bb7   |Bb-7 Eb7 |Abj7   |Abj7   ||
I1: ||Abj7   ||",1,87,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ColemanHawkins_SophisticatedLady_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_SophisticatedLady_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_SophisticatedLady_Solo_Solo.wav,ColemanHawkins_SophisticatedLady_FINAL.sv,GREAT AMERICAN SONGBOOK,ts,Ab-maj,100,Coleman Hawkins,1949,SWING,4/4,1,SWING,SLOW,Sophisticated Lady,,FUNCTIONAL,90,430.879,11.1387687197,17.4550235731
101,250.2,ColemanHawkins_Stompin'AtTheSavoy_Solo,"A1: ||G D7G|C79   |G   |G G#o |D7   |D7   |G   |A- D7 ||
A2: ||G D7G|C79   |G   |G G#o |D7   |D7   |G   |G   ||
B1: ||C   |D7   |C G |G   |E-   |A79   |A-7 D7 |D7   ||
A3: ||G D7G|C79   |G   |G G#o |D7   |D7   |G CD|A-7 D7 ||",2,83,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ColemanHawkins_Stompin'AtTheSavoy_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_Stompin'AtTheSavoy_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ColemanHawkins_Stompin'AtTheSavoy_Solo_Solo.wav,ColemanHawkins_Stompin'AtTheSavoy_FINAL.sv,GREAT AMERICAN SONGBOOK,ts,Db-maj,101,Coleman Hawkins,1954,SWING,4/4,1,SWING,UP,Stompin' at the Savoy,,FUNCTIONAL,91,438.94,15.3112742935,15.5608222393
102,131.8,CurtisFuller_BlueTrain_Solo,A1: ||Eb7NC  |Ab7   |Eb7   |Eb7   |Ab7   |Ab7   |Eb7   |G-7 C7 |F-7   |Bb7   |Eb7   |F-7 Bb7 ||,5,88,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/CurtisFuller_BlueTrain_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CurtisFuller_BlueTrain_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CurtisFuller_BlueTrain_Solo_Solo.wav,CurtisFuller_BlueTrain_FINAL.sv,ORIGINAL,tb,Eb-maj,102,Curtis Fuller,1957,SWING,4/4,1,HARDBOP,MEDIUM,Blue Train,,BLUES,92,440.473,8.06842057459,12.5837219833
103,147.4,CurtisFuller_DownUnder_Solo,A1: ||Gb-7   |Abm7b5 Db7 |Gb-7   |Gb-7   |G7   |G7   |Gb-7   |E-7 A7 |D7   |Db7   |Gb-7   |Db7   ||,2,89,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/CurtisFuller_DownUnder_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CurtisFuller_DownUnder_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/CurtisFuller_DownUnder_Solo_Solo.wav,CurtisFuller_DownUnder_FINAL.sv,ORIGINAL,tb,F#-min,103,Curtis Fuller,1961,SWING,4/4,1,HARDBOP,MEDIUM UP,Down Under,,BLUES,93,440.424,7.64594822705,9.39819752476
104,120.1,DavidLiebman_BeginTheBeguine_Solo,A1: ||Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   ||,1,90,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/DavidLiebman_BeginTheBeguine_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/DavidLiebman_BeginTheBeguine_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/DavidLiebman_BeginTheBeguine_Solo_Solo.wav,DavidLiebman_BeginTheBeguine_FINAL.sv,GREAT AMERICAN SONGBOOK,ss,Bb-maj,104,David Liebman,1988,SWING,4/4,1,POSTBOP,MEDIUM,Begin the Beguine,,FUNCTIONAL,94,438.948,15.2970454899,17.0047048706
105,244.9,DavidLiebman_Day&Nite_Solo,"A1: ||Bj7911#   |Bb79b13b   |Ebj7911#   |Ebj7911#   |Bj7911#   |Bb79b13b   |Ebj7911#   |Ebj7911#   |Am7b5   |Ab-7   |G-7   |Gb-7   |F-7   |Ej7911#   |D/Eb   |D/Eb   ||
A2: ||Bj7911#   |Bb79b13b   |Ebj7911#   |Ebj7911#   |Bj7911#   |Bb79b13b   |Bb79b13bEbj7911#  |Ebj7911#   |Am7b5   |Ab-7   |G-7   |Gb-7   |F-7   |Ebj7911#   |D/Eb   |D/Eb   ||
B1: ||Db-7/Gb   |Db-7/Gb   |Bb-7/Eb   |Bb-7/Eb   |Db-7/Gb   |Db-7/Gb   |Bb-7/Eb   |Bb-7/Eb   |Am7b5   |Ab-7   |G-7   |Gb-7   |F-7   |Ej7911#   |D/Eb   |D/Eb   ||",4,91,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/DavidLiebman_Day&Nite_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/DavidLiebman_Day&Nite_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/DavidLiebman_Day&Nite_Solo_Solo.wav,DavidLiebman_Day&Nite_FINAL.sv,ORIGINAL,ss,Eb-maj,105,David Liebman,1988,SWING,4/4,1,POSTBOP,UP,Day & Nite,,COLOR,95,443.652,9.96714796121,11.6282908795
106,256.2,DavidLiebman_I'veGotYouUnderMySkin_Solo,"A1: ||F-7   |Bb7   |Ebj7   |C7   |F-7   |Bb7   |Ebj7   |C7   |F-7   |Bb7   |Ebj7   |C7   |F-7   |Bb7   |Ebj7   |C7   ||
B1: ||F-7   |Bb7   |Ebj7   |C7   |Fm7b5   |Bb79b   |Ebj7   |Ebj7   |D-7   |G7   |Cj7   |Cj7   |F-7   |Bb7   |Ebj7   |Ebj7   ||
C1: ||F-7   |Bbsus Bb7 |Ebj7   |C79b   |F-7   |Bbsus Bb7 |Ebj7   |G7   ||
D1: ||C-7   |F-7 Bb7 |Ebj7   |C-7   |F-7   |Bb7   |Ebj7   |Bb-7 Eb7 |Abj7   |Db7   |Ebj7   |Gm7b5 C79b |F-7   |Bb7   |Ebj7   |Ebj7   ||",3,92,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/DavidLiebman_I'veGotYouUnderMySkin_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/DavidLiebman_I'veGotYouUnderMySkin_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/DavidLiebman_I'veGotYouUnderMySkin_Solo_Solo.wav,DavidLiebman_I'veGotYouUnderMySkin_FINAL.sv,GREAT AMERICAN SONGBOOK,ss,Eb-maj,106,David Liebman,1988,SWING,4/4,1,POSTBOP,UP,I've Got You Under My Skin,,FUNCTIONAL,96,438.697,13.6564037505,14.0163723688
107,156.0,DavidLiebman_Milestones_Solo,A1: ||G-6/C   |G-6/C   |G-6/C   |Db7911#   |G-6/C   |G-6/C   |G-6/C   |C+7   |A-7   |A-7   |A-7   |C+7   |C+7   |C+7   |C+7   |A-7   |G-6/C   |G-6/C   |G-6/C   |F+7911#   ||,3,93,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/DavidLiebman_Milestones_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/DavidLiebman_Milestones_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/DavidLiebman_Milestones_Solo_Solo.wav,DavidLiebman_Milestones_FINAL.sv,ORIGINAL,ss,F-maj,107,David Liebman,1992,SWING,4/4,1,POSTBOP,MEDIUM UP,Milestones,,MODAL,97,439.076,10.5875748766,12.6225560603
