id;mean_length_arpeggio_ascending;mean_length_arpeggio_descending;mean_length_arpeggio;cdpcx_density_2;cdpcx_density_L;cdpcx_density_b6;cdpcx_density_B;cdpcx_density_b2;cdpcx_density_4;cdpcx_density_<;cdpcx_density_>;cdpcx_density_1;cdpcx_density_3;cdpcx_density_6;cdpcx_density_5;cdpcx_density_T;cdpcx_density_7;cdpcx_entropy;mean_length_chromatic_ascending;mean_length_chromatic_descending;mean_length_chromatic_mixed;cpc_bigram_entropy;durclass_bigram_entropy;durclass_abs_hist_04_long;durclass_rel_hist_04_long;durclass_rel_hist_02_short;durclass_rel_entropy;durclass_abs_hist_01_very_short;durclass_abs_hist_05_very_long;durclass_rel_hist_01_very_short;durclass_rel_hist_05_very_long;durclass_rel_hist_03_medium;durclass_abs_entropy;durclass_abs_hist_03_medium;durclass_abs_hist_02_short;mean_seg_len_04_long;mean_seg_len_02_short;mean_seg_len_01_very_short;durclass_mean_seg_len;mean_seg_len_05_very_long;mean_seg_len_03_medium;fuzzyint_bigram_entropy;fuzzyint_hist_01_big_jump_up;fuzzyint_hist_08_jump_down;fuzzyint_hist_04_step_up;fuzzyint_hist_05_repeat;fuzzyint_hist_09_big_jump_down;fuzzyint_hist_07_leap_down;fuzzyint_hist_06_step_down;fuzzyint_hist_03_leap_up;fuzzyint_hist_02_jump_up;fuzzyint_entropy;art_range;art_median;art_std;metrical_event_density;event_density;performer;title;full_title;style;rhythmfeel;instrument;avgtempo;tonality_type;recordingyear;int_bigram_entropy;mean_length_chromatic_sequences;ratio_chromatic_sequences;int_std;int_min;int_range;abs_int_range;abs_int_mean;int_entropy;ioiclass_bigram_entropy;ioiclass_rel_hist_05_very_long;ioiclass_abs_hist_04_long;ioiclass_rel_hist_04_long;ioiclass_rel_hist_02_short;ioiclass_rel_hist_03_medium;ioiclass_abs_hist_03_medium;ioiclass_abs_hist_02_short;ioiclass_abs_hist_01_very_short;ioiclass_abs_hist_05_very_long;ioiclass_abs_entropy;ioiclass_rel_entropy;ioiclass_rel_hist_01_very_short;aic_mean_seg_len_02_short;ric_mean_seg_len_02_short;aic_mean_seg_len_04_long;aic_mean_seg_len;aic_mean_seg_len_05_very_long;aic_mean_seg_len_01_very_short;ric_mean_seg_len_04_long;aic_mean_seg_len_03_medium;ric_mean_seg_len;ric_mean_seg_len_01_very_short;ric_mean_seg_len_03_medium;ric_mean_seg_len_05_very_long;mcm_entropy;mcm_mean_angle;mcm_var;syncopicity;metric_complexity;metric_complexity_division;metric_complexity_compression;parsons_bigram_entropy;parsons_hist_ascending;parsons_hist_descending;parsons_hist_constant;parsons_entropy;mean_length_seq_ascending;mean_length_seq_descending;mean_length_seq_repitition;ratio_ascending_descending;pc_entropy;pc_circ_var;mean_number_of_unique_pc;pitch_entropy;pitch_range;pitch_median;pitch_std;extrema_ratio;mean_length_step_ascending;mean_length_step_descending;mean_length_step;nPVI_dur;nPVI_ioi
JJJohnson_Walkin'_FINAL.sv;3.42;3.0;4.24;0.09;0.06;0.02;0.01;0.01;0.09;0.0;0.0;0.16;0.14;0.12;0.15;0.03;0.12;0.85;3.57;3.0;4.32;6.13;2.57;0.01;0.01;0.59;0.7;0.29;0.0;0.26;0.0;0.14;0.68;0.11;0.59;1.0;3.97;2.22;2.7;0.0;1.43;5.1;0.01;0.03;0.22;0.11;0.02;0.12;0.28;0.16;0.04;0.77;0.95;0.86;0.22;5.2;2.77;J.J. Johnson;Walkin';Walkin'-1;HARDBOP;SWING;tb;127.9;BLUES;1954;6.4;3.36;0.06;3.16;-10;29;19;2.41;3.57;3.37;0.03;0.05;0.05;0.56;0.19;0.17;0.56;0.19;0.03;0.74;0.75;0.17;2.74;2.68;1.1;1.91;1.0;1.74;1.1;1.24;1.87;1.74;1.28;1.0;0.84;10.22;0.99;0.329493087558;0.190994135865;0.282909930716;0.0990783410138;2.72;0.43;0.45;0.11;0.88;3.82;3.9;4.38;0.95;0.9;0.95;6.2;3.88;23;62.0;4.69;0.4;3.5;4.05;5.0;0.44;0.44
JJJohnson_Yesterdays_FINAL.sv;3.5;4.0;3.35;0.1;0.0;0.1;0.02;0.03;0.11;0.0;0.01;0.13;0.13;0.08;0.11;0.08;0.1;0.92;3.0;3.0;3.61;6.33;2.53;0.02;0.02;0.36;0.58;0.61;0.0;0.56;0.0;0.05;0.56;0.04;0.33;1.0;1.85;2.82;2.14;1.0;1.05;4.68;0.01;0.02;0.32;0.13;0.01;0.1;0.29;0.07;0.04;0.72;0.96;0.8;0.21;7.35;3.83;J.J. Johnson;Yesterdays;Yesterdays-1;BEBOP;SWING;tb;125.1;BLUES;1957;6.02;3.0;0.04;2.88;-15;30;15;2.1;3.39;3.21;0.01;0.06;0.06;0.52;0.08;0.08;0.51;0.34;0.01;0.7;0.7;0.32;2.26;2.2;1.08;1.83;1.0;1.84;1.07;1.14;1.76;1.68;1.18;1.0;0.85;9.72;0.94;0.306748466258;0.135193519729;0.219262295082;0.0511247443763;2.75;0.44;0.43;0.13;0.9;4.58;3.82;4.13;1.0;0.93;0.93;7.24;3.91;25;64.0;4.49;0.39;4.18;3.6;6.22;0.47;0.47
JoeHenderson_In'NOut-1_FINAL.sv;3.11;3.57;3.55;0.12;0.03;0.06;0.02;0.05;0.07;0.01;0.03;0.16;0.09;0.1;0.1;0.06;0.11;0.94;3.25;4.35;3.98;6.64;1.26;0.0;0.02;0.79;0.51;0.87;0.0;0.13;0.0;0.07;0.32;0.01;0.12;1.06;5.3;1.38;3.14;0.0;1.14;5.09;0.03;0.03;0.26;0.05;0.01;0.19;0.26;0.11;0.05;0.77;0.98;0.86;0.21;5.2;6.0;Joe Henderson;In 'n Out;In 'n Out-1;POSTBOP;SWING;ts;276.7;BLUES;1964;6.76;3.9;0.07;3.53;-20;36;20;2.76;3.67;2.79;0.03;0.03;0.04;0.67;0.2;0.04;0.25;0.67;0.0;0.53;0.61;0.05;1.49;3.68;1.03;2.37;1.0;3.7;1.06;1.07;2.32;1.15;1.52;1.03;0.75;38.6;0.99;0.242640499554;0.176292293233;0.247321428571;0.105263157895;2.43;0.45;0.5;0.05;0.78;3.94;4.27;4.29;0.91;0.97;0.89;6.76;4.43;37;63.0;5.89;0.43;3.69;4.35;4.4;0.39;0.39
JoeHenderson_In'NOut-2_FINAL.sv;3.5;3.07;3.17;0.12;0.04;0.05;0.04;0.05;0.09;0.01;0.03;0.1;0.09;0.09;0.11;0.08;0.1;0.96;3.0;4.09;3.54;6.65;1.26;0.0;0.02;0.76;0.56;0.86;0.0;0.09;0.0;0.13;0.42;0.02;0.12;1.1;5.43;1.29;3.31;0.0;1.83;5.07;0.04;0.06;0.28;0.03;0.01;0.18;0.24;0.1;0.06;0.77;0.98;0.89;0.21;5.03;6.28;Joe Henderson;In 'n Out;In 'n Out-2;POSTBOP;SWING;ts;299.5;BLUES;1964;6.62;3.6;0.1;3.63;-9;28;19;2.85;3.71;2.82;0.02;0.01;0.05;0.63;0.24;0.05;0.25;0.68;0.0;0.52;0.63;0.06;2.03;3.78;1.0;3.02;1.0;4.69;1.17;1.08;2.55;1.21;2.1;1.0;0.77;30.49;0.97;0.365570599613;0.225584019312;0.253875968992;0.197292069632;2.3;0.47;0.5;0.03;0.73;3.86;4.25;3.0;0.94;0.96;0.93;7.87;4.39;37;64.0;5.97;0.41;3.9;4.44;4.72;0.39;0.39
JoeHenderson_JohnnyComeLately_FINAL.sv;3.4;3.29;3.63;0.1;0.05;0.06;0.03;0.05;0.09;0.0;0.01;0.14;0.14;0.05;0.11;0.05;0.11;0.92;3.4;3.4;3.57;6.66;1.58;0.0;0.02;0.62;0.6;0.83;0.0;0.26;0.0;0.09;0.4;0.03;0.14;1.0;3.5;2.08;2.45;1.0;1.14;4.77;0.03;0.05;0.26;0.02;0.0;0.17;0.33;0.1;0.05;0.72;0.91;0.84;0.15;6.41;6.62;Joe Henderson;Johnny Come Lately;Johnny Come Lately-1;POSTBOP;SWING;ts;247.6;FUNCTIONAL;1991;6.38;3.4;0.06;3.68;-19;43;24;2.75;3.5;2.9;0.01;0.02;0.05;0.66;0.14;0.07;0.23;0.68;0.0;0.61;0.64;0.14;1.26;2.91;1.0;2.03;0.0;3.02;1.04;1.03;2.02;1.56;1.18;1.0;0.78;27.7;0.98;0.242174629325;0.160010276151;0.252475247525;0.0675453047776;2.2;0.43;0.55;0.02;0.7;4.26;4.23;0.0;0.79;0.96;0.84;8.42;4.41;33;63.0;5.92;0.45;4.48;4.1;6.86;0.51;0.51
JoeHenderson_Punjab_FINAL.sv;3.53;3.5;3.58;0.11;0.01;0.04;0.03;0.05;0.06;0.01;0.01;0.11;0.09;0.1;0.13;0.08;0.15;0.93;3.0;3.0;3.05;6.54;1.94;0.01;0.01;0.32;0.55;0.75;0.0;0.61;0.0;0.06;0.5;0.03;0.21;1.0;2.02;3.57;2.5;1.0;1.0;4.96;0.03;0.05;0.21;0.04;0.01;0.14;0.35;0.11;0.07;0.76;0.96;0.88;0.19;7.96;5.31;Joe Henderson;Punjab;Punjab-1;POSTBOP;SWING;ts;160.1;COLOR;1964;6.54;3.0;0.03;3.69;-14;30;16;2.86;3.63;3.18;0.02;0.03;0.04;0.4;0.09;0.06;0.26;0.65;0.01;0.58;0.7;0.46;1.85;2.05;1.0;2.61;1.0;4.03;1.13;1.27;2.0;2.43;1.28;1.0;0.88;31.69;0.94;0.384078212291;0.118853771926;0.198601398601;0.0391061452514;2.32;0.42;0.54;0.04;0.76;4.08;4.58;6.67;0.77;0.98;0.9;7.03;4.54;35;63.0;6.21;0.4;3.86;4.53;4.79;0.46;0.46
JoeHenderson_Serenity_FINAL.sv;3.86;3.14;3.68;0.08;0.04;0.04;0.04;0.06;0.09;0.0;0.02;0.13;0.13;0.08;0.13;0.04;0.12;0.93;3.0;3.33;4.38;6.39;2.13;0.0;0.01;0.4;0.66;0.67;0.0;0.54;0.0;0.05;0.56;0.04;0.29;1.0;2.44;3.05;2.49;0.0;1.04;4.75;0.05;0.05;0.22;0.02;0.01;0.13;0.4;0.1;0.04;0.71;0.96;0.89;0.19;7.77;5.09;Joe Henderson;Serenity;Serenity-1;POSTBOP;SWING;ts;157.3;FUNCTIONAL;1964;6.35;3.19;0.11;3.77;-14;35;21;2.76;3.51;3.2;0.02;0.03;0.04;0.43;0.09;0.07;0.32;0.58;0.0;0.62;0.7;0.43;2.23;2.34;1.0;2.48;1.0;3.63;1.05;1.06;2.06;2.42;1.21;1.0;0.88;36.75;0.98;0.389298892989;0.144133114159;0.240295748614;0.0479704797048;2.16;0.4;0.58;0.02;0.69;4.04;4.76;0.0;0.68;0.97;0.87;7.56;4.57;33;62.0;6.48;0.39;3.95;4.07;5.35;0.46;0.46
JoeHenderson_TheSidewinder_FINAL.sv;3.11;3.0;3.82;0.06;0.01;0.01;0.14;0.01;0.16;0.0;0.0;0.21;0.13;0.02;0.12;0.03;0.09;0.82;4.77;3.68;4.78;5.49;1.98;0.01;0.02;0.32;0.57;0.77;0.0;0.61;0.0;0.05;0.44;0.04;0.18;1.0;1.87;3.46;2.37;1.0;1.0;4.85;0.01;0.05;0.24;0.04;0.01;0.16;0.28;0.13;0.09;0.76;0.94;0.89;0.18;7.55;4.83;Joe Henderson;The Sidewinder;The Sidewinder-1;POSTBOP;LATIN;ts;153.5;BLUES;1963;5.89;4.13;0.19;3.3;-18;35;18;2.59;3.46;3.11;0.02;0.03;0.04;0.39;0.07;0.05;0.22;0.69;0.02;0.57;0.69;0.49;1.8;1.85;1.0;2.82;1.0;4.77;1.0;1.14;1.95;2.57;1.24;1.0;0.9;46.69;0.96;0.373134328358;0.151342586135;0.239252336449;0.0634328358209;2.43;0.46;0.49;0.04;0.77;4.49;4.01;4.0;0.94;0.87;0.77;7.3;3.99;35;63.0;5.47;0.43;4.0;4.11;4.75;0.46;0.46
JoeHenderson_TotemPole_FINAL.sv;3.6;3.08;3.54;0.13;0.04;0.03;0.02;0.03;0.07;0.01;0.0;0.14;0.13;0.09;0.17;0.03;0.11;0.88;3.0;6.75;4.47;6.28;1.93;0.01;0.02;0.28;0.63;0.77;0.0;0.64;0.0;0.06;0.49;0.05;0.17;1.0;1.61;3.36;2.29;0.0;1.13;5.02;0.03;0.03;0.22;0.08;0.02;0.12;0.32;0.12;0.06;0.78;0.93;0.93;0.2;8.78;5.03;Joe Henderson;Totem Pole;Totem Pole-1;POSTBOP;SWING;ts;137.6;FUNCTIONAL;1963;6.45;5.14;0.05;3.62;-14;32;18;2.74;3.66;3.07;0.01;0.05;0.06;0.36;0.07;0.06;0.23;0.66;0.0;0.59;0.68;0.51;1.48;1.72;1.0;2.24;1.0;3.61;1.0;1.1;1.88;2.57;1.12;1.0;0.91;26.11;0.96;0.4128113879;0.130083544256;0.213903743316;0.0462633451957;2.53;0.42;0.51;0.08;0.82;4.35;4.27;5.6;0.82;0.98;0.95;6.49;4.51;31;62.0;6.07;0.37;4.1;3.92;5.08;0.44;0.44
JoeHenderson_U.M.M.G._FINAL.sv;3.0;3.29;3.8;0.13;0.03;0.07;0.04;0.06;0.1;0.02;0.03;0.11;0.11;0.06;0.11;0.06;0.09;0.95;3.14;4.5;3.88;6.54;2.38;0.01;0.03;0.59;0.76;0.64;0.0;0.22;0.0;0.15;0.61;0.06;0.29;1.22;3.08;1.35;1.98;0.0;1.28;4.77;0.04;0.05;0.23;0.02;0.02;0.13;0.38;0.08;0.05;0.73;0.88;0.81;0.2;5.11;4.68;Joe Henderson;U.M.M.G.;U.M.M.G.-1;POSTBOP;SWING;ts;219.2;FUNCTIONAL;1991;6.25;3.87;0.13;3.86;-13;33;20;2.83;3.56;3.27;0.02;0.03;0.09;0.57;0.23;0.13;0.42;0.42;0.0;0.79;0.72;0.09;1.47;2.79;1.0;1.41;0.0;1.43;1.2;1.26;1.91;1.32;1.46;1.0;0.76;22.24;0.97;0.240121580547;0.209427589147;0.303353658537;0.115501519757;2.2;0.41;0.57;0.02;0.7;4.86;5.22;3.0;0.72;0.98;0.99;8.53;4.55;39;61.0;6.42;0.41;4.07;5.18;5.55;0.61;0.61
JoeLovano_BodyAndSoul-1_FINAL.sv;3.32;3.31;3.8;0.14;0.04;0.05;0.02;0.04;0.1;0.0;0.01;0.11;0.12;0.07;0.14;0.04;0.11;0.91;3.47;3.47;3.47;6.71;3.0;0.03;0.0;0.18;0.56;0.44;0.0;0.79;0.0;0.04;0.78;0.12;0.41;0.0;1.38;5.58;3.28;0.0;1.0;5.21;0.02;0.07;0.29;0.04;0.01;0.15;0.23;0.13;0.06;0.78;1.0;0.95;0.15;15.37;3.87;Joe Lovano;Body and Soul;Body and Soul-1;POSTBOP;SWING;ts;60.5;FUNCTIONAL;1991;6.96;3.47;0.08;3.7;-28;55;28;2.83;3.73;2.1;0.0;0.05;0.01;0.19;0.05;0.12;0.47;0.35;0.01;0.72;0.54;0.74;2.13;1.56;1.0;1.84;1.0;2.11;1.0;1.26;2.94;4.93;1.0;0.0;0.98;36.33;0.93;0.457403651116;0.095171487114;0.178172588832;0.0121703853955;2.42;0.49;0.46;0.04;0.77;4.38;3.82;3.5;1.06;0.99;0.95;8.82;4.66;32;63.0;6.57;0.43;4.03;3.58;4.6;0.55;0.55
JoeLovano_BodyAndSoul-2_FINAL.sv;3.0;3.14;3.38;0.09;0.04;0.04;0.02;0.04;0.11;0.0;0.02;0.1;0.13;0.09;0.22;0.05;0.07;0.92;3.0;3.33;3.1;6.09;3.39;0.08;0.01;0.26;0.56;0.34;0.01;0.64;0.0;0.08;0.8;0.18;0.39;1.0;1.8;4.19;2.6;1.0;1.13;5.07;0.01;0.06;0.29;0.04;0.02;0.18;0.21;0.13;0.06;0.77;0.66;0.88;0.11;9.86;2.43;Joe Lovano;Body and Soul;Body and Soul-2;POSTBOP;SWING;ts;59.6;FUNCTIONAL;1991;6.33;3.17;0.06;3.6;-9;27;18;2.87;3.65;2.72;0.0;0.08;0.01;0.33;0.1;0.21;0.42;0.27;0.02;0.82;0.62;0.56;2.29;2.27;1.06;1.93;1.0;2.62;1.0;1.57;2.52;3.83;1.11;1.0;0.95;34.86;0.86;0.451923076923;0.144846246748;0.256038647343;0.0336538461538;2.37;0.5;0.46;0.04;0.75;4.08;4.05;3.0;1.07;0.97;0.89;8.78;4.55;30;64.0;7.07;0.47;3.29;3.2;3.83;0.53;0.53
JoeLovano_CentralParkWest_FINAL.sv;3.23;3.07;3.59;0.14;0.0;0.02;0.01;0.01;0.08;0.01;0.0;0.11;0.14;0.16;0.16;0.02;0.13;0.81;3.0;3.85;3.68;6.15;2.98;0.04;0.01;0.14;0.46;0.5;0.0;0.8;0.0;0.05;0.67;0.1;0.36;1.0;1.42;6.86;3.77;0.0;1.23;5.25;0.02;0.07;0.24;0.04;0.03;0.12;0.28;0.13;0.07;0.79;0.91;0.85;0.16;13.45;3.51;Joe Lovano;Central Park West;Central Park West-1;POSTBOP;SWING;ts;62.6;FUNCTIONAL;1991;6.66;3.79;0.05;3.68;-12;31;19;2.93;3.71;2.31;0.0;0.06;0.02;0.19;0.07;0.13;0.43;0.37;0.01;0.76;0.52;0.72;2.13;1.44;1.19;1.91;1.0;2.39;1.07;1.23;2.8;4.9;1.21;1.0;0.97;42.16;0.92;0.442415730337;0.104420502852;0.194796061885;0.0140449438202;2.4;0.46;0.5;0.04;0.76;4.25;4.07;3.75;0.93;0.96;0.93;7.53;4.51;31;67.0;6.23;0.47;3.84;4.07;4.43;0.52;0.52
JoeLovano_ConAlma_FINAL.sv;3.5;3.44;4.24;0.15;0.02;0.04;0.03;0.04;0.08;0.0;0.01;0.12;0.13;0.08;0.12;0.04;0.13;0.93;5.5;3.62;3.8;6.39;2.14;0.01;0.01;0.3;0.59;0.69;0.0;0.65;0.0;0.05;0.56;0.04;0.26;1.0;1.73;3.72;2.5;0.0;1.0;4.81;0.02;0.03;0.2;0.04;0.0;0.17;0.36;0.1;0.07;0.73;0.89;0.91;0.16;11.07;5.75;Joe Lovano;Con Alma;Con Alma-1;POSTBOP;LATIN/SWING;ts;124.6;FUNCTIONAL;1993;6.15;3.87;0.12;3.41;-8;31;23;2.6;3.44;2.77;0.0;0.02;0.02;0.41;0.06;0.07;0.37;0.55;0.0;0.69;0.7;0.51;1.74;1.77;1.0;1.99;0.0;2.64;1.0;1.04;1.87;2.3;1.05;0.0;0.91;16.97;0.96;0.361413043478;0.111020613671;0.211171662125;0.0108695652174;2.35;0.4;0.56;0.04;0.75;4.45;4.52;3.0;0.7;0.98;0.87;9.42;4.48;30;63.5;5.98;0.37;4.71;4.3;5.46;0.37;0.37
JoeLovano_ICan'tGetStarted_FINAL.sv;3.33;3.27;3.4;0.11;0.03;0.06;0.03;0.06;0.09;0.01;0.01;0.11;0.12;0.08;0.12;0.05;0.11;0.97;3.94;3.51;3.9;6.76;2.58;0.01;0.0;0.31;0.6;0.54;0.0;0.63;0.0;0.06;0.66;0.07;0.39;1.0;1.97;3.73;2.64;0.0;1.13;4.82;0.01;0.04;0.26;0.05;0.0;0.13;0.34;0.12;0.04;0.72;0.94;0.85;0.19;9.35;4.16;Joe Lovano;I Can't Get Started;I Can't Get Started-1;POSTBOP;SWING;ts-c;106.8;FUNCTIONAL;1994;6.55;3.65;0.15;3.26;-12;39;27;2.41;3.46;3.05;0.0;0.06;0.05;0.39;0.08;0.09;0.45;0.4;0.0;0.7;0.67;0.48;2.15;1.91;1.04;1.96;1.0;2.33;1.02;1.26;1.99;2.63;1.18;1.0;0.93;43.93;0.98;0.433581296493;0.136415820653;0.234574468085;0.03825717322;2.43;0.44;0.52;0.05;0.77;4.51;4.31;3.33;0.85;0.98;0.96;7.12;4.62;34;62.0;6.37;0.41;4.18;4.2;5.33;0.47;0.47
JoeLovano_LittleWillieLeapsIn_FINAL.sv;3.17;3.23;3.29;0.12;0.03;0.06;0.03;0.05;0.1;0.0;0.01;0.14;0.11;0.08;0.11;0.04;0.12;0.93;3.17;4.1;3.64;6.75;0.92;0.0;0.01;0.77;0.46;0.92;0.0;0.14;0.0;0.07;0.23;0.01;0.07;1.0;5.46;1.58;3.27;1.0;1.21;4.76;0.02;0.04;0.26;0.04;0.01;0.13;0.34;0.1;0.06;0.73;0.95;0.83;0.2;5.54;7.01;Joe Lovano;Little Willie Leaps in;Little Willie Leaps in-1;POSTBOP;SWING;ts;303.7;FUNCTIONAL;1994;6.54;3.71;0.13;3.49;-31;55;31;2.56;3.56;2.74;0.02;0.02;0.05;0.69;0.17;0.05;0.16;0.77;0.0;0.52;0.61;0.07;1.38;3.99;1.0;3.17;0.0;5.59;1.19;1.15;2.44;1.48;1.34;1.0;0.74;23.5;0.96;0.199719691661;0.167749970269;0.258415147265;0.0770847932726;2.28;0.44;0.52;0.04;0.75;4.34;5.1;15.5;0.85;0.96;0.89;8.2;4.54;38;61.0;6.39;0.35;4.16;5.12;5.41;0.38;0.38
JoeLovano_Lonnie'sLament-1_FINAL.sv;3.29;3.37;3.82;0.1;0.06;0.06;0.0;0.03;0.13;0.0;0.03;0.1;0.16;0.05;0.12;0.06;0.09;0.9;3.43;3.33;3.32;6.44;2.44;0.01;0.03;0.58;0.67;0.6;0.0;0.26;0.01;0.13;0.63;0.05;0.34;1.32;3.12;2.33;2.38;1.0;1.35;5.01;0.02;0.05;0.21;0.04;0.01;0.16;0.31;0.16;0.04;0.75;0.94;0.84;0.2;5.32;4.45;Joe Lovano;Lonnie's Lament;Lonnie's Lament-1;POSTBOP;SWING;ts;201.0;FUNCTIONAL;1994;6.74;3.37;0.05;3.67;-38;62;38;2.76;3.59;3.39;0.02;0.04;0.08;0.53;0.24;0.09;0.44;0.43;0.0;0.67;0.76;0.14;2.22;2.52;1.06;2.09;1.0;2.62;1.18;1.19;1.95;1.69;1.71;1.07;0.8;25.33;0.99;0.316705336427;0.177358114317;0.265389082462;0.0893271461717;2.35;0.44;0.52;0.04;0.75;3.79;4.11;3.71;0.83;0.95;0.9;7.37;4.78;43;63.0;7.81;0.45;3.51;3.83;4.65;0.44;0.44
JoeLovano_Work_FINAL.sv;3.14;3.17;3.44;0.1;0.05;0.03;0.05;0.04;0.08;0.0;0.01;0.15;0.15;0.07;0.09;0.07;0.11;0.91;3.71;3.6;3.94;6.46;2.39;0.0;0.02;0.59;0.73;0.54;0.0;0.24;0.0;0.15;0.61;0.04;0.42;1.0;3.51;2.4;2.59;0.0;1.49;4.88;0.01;0.06;0.31;0.01;0.02;0.14;0.27;0.14;0.07;0.73;0.9;0.93;0.16;6.24;5.42;Joe Lovano;Work;Work-1;POSTBOP;SWING;ss;208.7;FUNCTIONAL;1991;6.69;3.67;0.11;3.79;-23;50;27;2.82;3.59;3.19;0.01;0.03;0.07;0.56;0.18;0.05;0.45;0.47;0.0;0.71;0.72;0.19;1.85;2.75;1.0;1.85;0.0;2.17;1.03;1.07;1.98;2.02;1.29;1.0;0.8;23.37;0.96;0.253333333333;0.169392042293;0.270450751252;0.0683333333333;2.08;0.52;0.48;0.01;0.66;4.47;4.15;0.0;1.08;0.98;0.86;7.41;4.76;33;72.0;7.36;0.42;4.0;4.27;5.15;0.45;0.45
JohnAbercrombie_Ralph'sPianoWaltz_FINAL.sv;3.0;3.25;3.28;0.15;0.0;0.04;0.01;0.03;0.04;0.01;0.0;0.14;0.11;0.12;0.12;0.08;0.14;0.86;0.0;3.25;3.15;6.22;2.89;0.01;0.06;0.58;0.64;0.34;0.0;0.06;0.0;0.31;0.66;0.15;0.49;1.0;3.37;1.06;2.14;1.0;1.69;4.77;0.02;0.05;0.31;0.03;0.02;0.12;0.27;0.12;0.05;0.75;0.86;0.89;0.15;3.47;3.78;John Abercrombie;Ralph's Piano Waltz;Ralph's Piano Waltz-1;POSTBOP;SWING;g;196.5;MODAL;1988;6.1;3.25;0.03;3.27;-10;19;10;2.69;3.53;2.88;0.01;0.03;0.09;0.52;0.37;0.19;0.6;0.19;0.0;0.75;0.64;0.01;2.77;2.83;1.0;2.03;0.0;1.19;1.04;2.12;1.99;1.0;1.76;1.0;0.6;39.24;0.98;0.268456375839;0.260581203534;0.306397306397;0.214765100671;2.28;0.5;0.47;0.03;0.74;5.37;4.96;3.0;1.06;0.95;0.89;8.09;4.43;28;61.0;6.34;0.35;5.75;4.86;6.26;0.47;0.47
JohnColtrane_26=2_FINAL.sv;3.1;3.29;3.48;0.11;0.02;0.02;0.02;0.02;0.07;0.01;0.02;0.19;0.15;0.08;0.18;0.01;0.11;0.85;3.38;3.55;3.44;6.03;2.57;0.0;0.03;0.58;0.76;0.44;0.0;0.19;0.0;0.19;0.64;0.06;0.5;1.05;2.95;1.75;2.1;0.0;1.4;5.08;0.04;0.03;0.21;0.03;0.01;0.22;0.28;0.11;0.06;0.76;0.92;0.92;0.21;5.21;4.22;John Coltrane;26-2;26-2-1;HARDBOP;SWING;ts;194.5;FUNCTIONAL;1960;6.72;3.47;0.07;3.73;-12;29;17;2.99;3.68;3.46;0.01;0.04;0.1;0.52;0.24;0.13;0.47;0.35;0.0;0.81;0.77;0.13;1.88;2.49;1.0;1.66;0.0;1.79;1.08;1.18;1.85;1.76;1.55;1.0;0.8;32.4;0.95;0.369760479042;0.206067250806;0.305847076462;0.10628742515;2.32;0.43;0.54;0.03;0.73;4.05;4.25;3.0;0.78;0.99;0.95;7.85;4.43;30;64.0;5.62;0.45;4.04;4.09;4.79;0.51;0.51
JohnColtrane_Bessie'sBlues_FINAL.sv;3.0;3.4;3.41;0.08;0.04;0.02;0.02;0.02;0.07;0.0;0.0;0.2;0.14;0.07;0.18;0.03;0.13;0.84;3.5;3.67;3.69;5.92;2.58;0.01;0.04;0.63;0.73;0.45;0.0;0.2;0.0;0.13;0.65;0.05;0.49;1.0;3.07;1.29;1.93;0.0;1.13;5.29;0.03;0.07;0.2;0.04;0.01;0.16;0.29;0.09;0.11;0.79;0.95;0.89;0.18;5.72;4.4;John Coltrane;Bessie's Blues;Bessie's Blues-1;POSTBOP;SWING;ts;184.3;BLUES;1964;6.71;3.63;0.06;3.74;-12;26;14;3.05;3.77;3.17;0.01;0.06;0.09;0.61;0.17;0.05;0.54;0.35;0.0;0.74;0.69;0.12;2.09;2.67;1.0;1.65;0.0;1.46;1.0;1.06;1.75;1.24;1.15;1.0;0.77;18.52;0.93;0.213068181818;0.218490999741;0.317663817664;0.119318181818;2.4;0.43;0.53;0.04;0.76;3.72;4.04;3.0;0.81;0.93;0.94;7.74;4.24;32;67.0;5.73;0.44;3.62;3.36;4.5;0.59;0.59
JohnColtrane_BluesByFive_FINAL.sv;3.08;3.42;4.77;0.1;0.04;0.03;0.02;0.04;0.09;0.0;0.0;0.13;0.13;0.1;0.19;0.04;0.1;0.88;3.5;3.6;3.63;6.3;2.36;0.0;0.02;0.63;0.66;0.58;0.0;0.28;0.0;0.07;0.61;0.05;0.37;1.0;3.29;1.84;2.35;0.0;1.14;5.08;0.03;0.04;0.21;0.04;0.01;0.21;0.25;0.15;0.06;0.77;1.0;0.88;0.22;5.47;4.02;John Coltrane;Blues by Five;Blues by Five-1;HARDBOP;SWING;ts;176.5;BLUES;1956;6.7;3.55;0.06;3.48;-12;23;12;2.86;3.67;3.17;0.04;0.03;0.04;0.6;0.13;0.07;0.46;0.42;0.02;0.68;0.7;0.19;2.62;3.11;1.0;2.14;1.0;2.41;1.0;1.06;2.09;1.8;1.28;1.0;0.85;28.02;0.92;0.405345211581;0.177348472797;0.258928571429;0.0957683741648;2.37;0.45;0.51;0.04;0.75;4.11;4.42;3.0;0.88;0.95;0.93;8.76;4.01;24;64.0;4.51;0.42;4.05;4.31;5.25;0.46;0.46
